gpu_mem,block_size,max_len,prefix_cache,batched_tokens,workload,avg_tps,avg_ttft_ms,p99_ttft_ms,peak_kv_pct,status
0.9,16,8192,False,8192,dialogue,72.5,267.3,745.9,0.0,ok
0.9,16,8192,False,8192,rag,78.4,81.6,185.2,0.0,ok
0.9,16,8192,False,8192,code,78.7,78.3,179.8,0.0,ok
0.9,16,8192,False,8192,reasoning,76.8,111.1,162.3,0.0,ok
0.8,16,8192,False,8192,dialogue,79.0,63.8,135.4,0.0,ok
0.8,16,8192,False,8192,rag,78.5,79.5,180.7,0.0,ok
0.8,16,8192,False,8192,code,78.3,87.1,199.8,0.0,ok
0.8,16,8192,False,8192,reasoning,78.6,75.9,171.1,0.0,ok
0.85,16,8192,False,8192,dialogue,78.4,78.6,167.9,0.0,ok
0.85,16,8192,False,8192,rag,78.5,80.0,184.3,0.0,ok
0.85,16,8192,False,8192,code,78.6,78.9,181.4,0.0,ok
0.85,16,8192,False,8192,reasoning,78.8,73.6,160.5,0.0,ok
0.95,16,8192,False,8192,dialogue,78.8,68.4,151.1,0.0,ok
0.95,16,8192,False,8192,rag,78.6,76.3,172.6,0.0,ok
0.95,16,8192,False,8192,code,78.5,78.6,181.1,0.0,ok
0.95,16,8192,False,8192,reasoning,78.8,72.9,160.9,0.0,ok
0.9,8,8192,False,8192,dialogue,0.0,0.0,0.0,0.0,Server failed to sta
0.9,8,8192,False,8192,rag,0.0,0.0,0.0,0.0,Server failed to sta
0.9,8,8192,False,8192,code,0.0,0.0,0.0,0.0,Server failed to sta
0.9,8,8192,False,8192,reasoning,0.0,0.0,0.0,0.0,Server failed to sta
0.9,32,8192,False,8192,dialogue,72.8,260.2,723.7,0.0,ok
0.9,32,8192,False,8192,rag,78.9,72.3,159.0,0.0,ok
0.9,32,8192,False,8192,code,78.7,77.2,178.1,0.0,ok
0.9,32,8192,False,8192,reasoning,76.9,110.8,164.2,0.0,ok
0.9,16,4096,False,8192,dialogue,72.4,263.7,737.4,0.0,ok
0.9,16,4096,False,8192,rag,78.3,79.8,182.4,0.0,ok
0.9,16,4096,False,8192,code,78.8,76.9,177.0,0.0,ok
0.9,16,4096,False,8192,reasoning,77.4,101.6,142.6,0.0,ok
0.9,16,16384,False,8192,dialogue,72.3,256.2,709.6,0.0,ok
0.9,16,16384,False,8192,rag,77.9,78.9,180.4,0.0,ok
0.9,16,16384,False,8192,code,77.9,80.0,182.4,0.0,ok
0.9,16,16384,False,8192,reasoning,76.6,104.1,153.7,0.0,ok
0.9,16,32768,False,8192,dialogue,71.7,272.0,761.1,0.0,ok
0.9,16,32768,False,8192,rag,77.8,77.4,177.0,0.0,ok
0.9,16,32768,False,8192,code,77.7,79.5,182.6,0.0,ok
0.9,16,32768,False,8192,reasoning,76.4,105.8,159.3,0.0,ok
0.9,16,8192,True,8192,dialogue,79.2,62.1,131.1,0.0,ok
0.9,16,8192,True,8192,rag,78.4,81.5,184.6,0.0,ok
0.9,16,8192,True,8192,code,78.5,79.8,185.4,0.0,ok
0.9,16,8192,True,8192,reasoning,78.9,73.3,166.9,0.0,ok
0.9,16,8192,False,2048,dialogue,72.5,264.8,741.8,0.0,ok
0.9,16,8192,False,2048,rag,78.6,79.2,179.6,0.0,ok
0.9,16,8192,False,2048,code,78.6,78.0,180.1,0.0,ok
0.9,16,8192,False,2048,reasoning,77.2,107.6,163.4,0.0,ok
0.9,16,8192,False,4096,dialogue,72.7,260.1,728.3,0.0,ok
0.9,16,8192,False,4096,rag,78.6,77.6,173.5,0.0,ok
0.9,16,8192,False,4096,code,78.5,80.8,188.0,0.0,ok
0.9,16,8192,False,4096,reasoning,77.2,108.7,163.5,0.0,ok
0.9,16,8192,False,16384,dialogue,72.0,268.8,751.3,0.0,ok
0.9,16,8192,False,16384,rag,78.0,79.1,176.5,0.0,ok
0.9,16,8192,False,16384,code,78.1,76.1,176.8,0.0,ok
0.9,16,8192,False,16384,reasoning,76.8,100.9,149.5,0.0,ok
