
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Here' | Latency: 239.64ms
Token 2: ' is' | Latency: 13.92ms
Token 3: ' a' | Latency: 13.00ms
Token 4: ' ' | Latency: 11.91ms
Token 5: '3' | Latency: 11.22ms
Token 6: '-s' | Latency: 11.38ms
Token 7: 'entence' | Latency: 11.41ms
Token 8: ' explanation' | Latency: 11.40ms
Token 9: ' of' | Latency: 11.35ms
Token 10: ' recursion' | Latency: 11.42ms
Token 11: ':

' | Latency: 11.39ms
Token 12: 'Rec' | Latency: 11.39ms
Token 13: 'ursion' | Latency: 11.38ms
Token 14: ' is' | Latency: 11.44ms
Token 15: ' a' | Latency: 11.39ms
Token 16: ' programming' | Latency: 11.82ms
Token 17: ' technique' | Latency: 11.78ms
Token 18: ' where' | Latency: 11.06ms
Token 19: ' a' | Latency: 12.94ms
Token 20: ' function' | Latency: 11.81ms
Token 21: ' calls' | Latency: 8.53ms
Token 22: ' itself' | Latency: 7.41ms
Token 23: ' repeatedly' | Latency: 7.42ms
Token 24: ' until' | Latency: 7.46ms
Token 25: ' it' | Latency: 7.35ms
Token 26: ' reaches' | Latency: 7.39ms
Token 27: ' a' | Latency: 7.33ms
Token 28: ' base' | Latency: 7.29ms
Token 29: ' case' | Latency: 7.30ms
Token 30: ' that' | Latency: 7.31ms
Token 31: ' stops' | Latency: 7.31ms
Token 32: ' the' | Latency: 7.31ms
Token 33: ' recursion' | Latency: 7.42ms
Token 34: '.' | Latency: 7.29ms
Token 35: ' The' | Latency: 7.21ms
Token 36: ' recursive' | Latency: 7.33ms
Token 37: ' function' | Latency: 7.21ms
Token 38: ' breaks' | Latency: 7.32ms
Token 39: ' down' | Latency: 7.27ms
Token 40: ' a' | Latency: 7.33ms
Token 41: ' problem' | Latency: 7.27ms
Token 42: ' into' | Latency: 7.29ms
Token 43: ' smaller' | Latency: 7.29ms
Token 44: ' sub' | Latency: 7.31ms
Token 45: '-pro' | Latency: 7.28ms
Token 46: 'blems' | Latency: 7.34ms
Token 47: ',' | Latency: 7.35ms
Token 48: ' solves' | Latency: 7.30ms
Token 49: ' each' | Latency: 7.30ms
Token 50: ' one' | Latency: 7.38ms
Token 51: ' by' | Latency: 7.32ms
Token 52: ' calling' | Latency: 7.31ms
Token 53: ' itself' | Latency: 7.82ms
Token 54: ' with' | Latency: 7.39ms
Token 55: ' smaller' | Latency: 7.28ms
Token 56: ' inputs' | Latency: 7.35ms
Token 57: ',' | Latency: 7.32ms
Token 58: ' and' | Latency: 7.31ms
Token 59: ' combines' | Latency: 7.32ms
Token 60: ' the' | Latency: 7.36ms
Token 61: ' results' | Latency: 7.40ms
Token 62: ' to' | Latency: 7.28ms
Token 63: ' solve' | Latency: 7.34ms
Token 64: ' the' | Latency: 7.31ms
Token 65: ' original' | Latency: 7.31ms
Token 66: ' problem' | Latency: 7.36ms
Token 67: '.' | Latency: 7.26ms
Token 68: ' Rec' | Latency: 7.41ms
Token 69: 'ursion' | Latency: 9.27ms
Token 70: ' can' | Latency: 7.90ms
Token 71: ' be' | Latency: 7.94ms
Token 72: ' used' | Latency: 8.32ms
Token 73: ' to' | Latency: 7.76ms
Token 74: ' solve' | Latency: 7.29ms
Token 75: ' problems' | Latency: 7.31ms
Token 76: ' that' | Latency: 7.22ms
Token 77: ' have' | Latency: 7.24ms
Token 78: ' a' | Latency: 7.28ms
Token 79: ' clear' | Latency: 7.26ms
Token 80: ' hierarchical' | Latency: 7.27ms
Token 81: ' or' | Latency: 7.31ms
Token 82: ' self' | Latency: 7.23ms
Token 83: '-s' | Latency: 7.27ms
Token 84: 'imilar' | Latency: 7.45ms
Token 85: ' structure' | Latency: 7.12ms
Token 86: ',' | Latency: 7.26ms
Token 87: ' such' | Latency: 7.25ms
Token 88: ' as' | Latency: 7.38ms
Token 89: ' tree' | Latency: 7.32ms
Token 90: ' travers' | Latency: 7.33ms
Token 91: 'als' | Latency: 7.32ms
Token 92: ',' | Latency: 7.29ms
Token 93: ' factorial' | Latency: 7.30ms
Token 94: ' calculations' | Latency: 7.36ms
Token 95: ',' | Latency: 7.27ms
Token 96: ' or' | Latency: 7.33ms
Token 97: ' data' | Latency: 7.27ms
Token 98: ' structures' | Latency: 7.35ms
Token 99: ' like' | Latency: 7.28ms
Token 100: ' linked' | Latency: 7.34ms
Token 101: ' lists' | Latency: 7.31ms
Token 102: '.' | Latency: 7.32ms

--- Summary ---
Total tokens: 102
TTFT: 239.64ms
TPOT: 10.56ms
ITL Mean: 8.21ms
Throughput: 94.67 tok/s

============================================================
Request 2/5
