
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Rec' | Latency: 4220.59ms
Token 2: 'ursion' | Latency: 12.55ms
Token 3: ' in' | Latency: 12.57ms
Token 4: ' programming' | Latency: 12.54ms
Token 5: ' is' | Latency: 13.88ms
Token 6: ' when' | Latency: 12.46ms
Token 7: ' a' | Latency: 12.58ms
Token 8: ' function' | Latency: 12.74ms
Token 9: ' calls' | Latency: 12.50ms
Token 10: ' itself' | Latency: 12.48ms
Token 11: ' to' | Latency: 12.52ms
Token 12: ' solve' | Latency: 12.56ms
Token 13: ' a' | Latency: 13.76ms
Token 14: ' problem' | Latency: 12.49ms
Token 15: ' by' | Latency: 13.87ms
Token 16: ' breaking' | Latency: 12.58ms
Token 17: ' it' | Latency: 12.53ms
Token 18: ' down' | Latency: 13.31ms
Token 19: ' into' | Latency: 12.49ms
Token 20: ' smaller' | Latency: 12.53ms
Token 21: ',' | Latency: 12.55ms
Token 22: ' similar' | Latency: 12.53ms
Token 23: ' sub' | Latency: 12.54ms
Token 24: '-pro' | Latency: 12.56ms
Token 25: 'blems' | Latency: 12.52ms
Token 26: '.' | Latency: 12.55ms
Token 27: ' Each' | Latency: 12.54ms
Token 28: ' recursive' | Latency: 12.51ms
Token 29: ' call' | Latency: 14.55ms
Token 30: ' works' | Latency: 13.24ms
Token 31: ' towards' | Latency: 12.54ms
Token 32: ' a' | Latency: 12.60ms
Token 33: ' base' | Latency: 12.52ms
Token 34: ' case' | Latency: 12.54ms
Token 35: ' that' | Latency: 12.61ms
Token 36: ' stops' | Latency: 13.10ms
Token 37: ' the' | Latency: 12.52ms
Token 38: ' recursion' | Latency: 12.59ms
Token 39: ',' | Latency: 12.49ms
Token 40: ' ensuring' | Latency: 12.56ms
Token 41: ' termination' | Latency: 12.57ms
Token 42: ' and' | Latency: 12.53ms
Token 43: ' preventing' | Latency: 12.70ms
Token 44: ' infinite' | Latency: 12.47ms
Token 45: ' loops' | Latency: 12.64ms
Token 46: '.' | Latency: 12.49ms
Token 47: ' This' | Latency: 12.62ms
Token 48: ' approach' | Latency: 12.54ms
Token 49: ' is' | Latency: 12.64ms
Token 50: ' efficient' | Latency: 12.53ms
Token 51: ' for' | Latency: 12.55ms
Token 52: ' problems' | Latency: 12.57ms
Token 53: ' with' | Latency: 13.27ms
Token 54: ' repetitive' | Latency: 12.52ms
Token 55: ' structures' | Latency: 12.56ms
Token 56: ' but' | Latency: 12.60ms
Token 57: ' requires' | Latency: 12.59ms
Token 58: ' careful' | Latency: 12.57ms
Token 59: ' handling' | Latency: 12.62ms
Token 60: ' to' | Latency: 12.55ms
Token 61: ' avoid' | Latency: 12.64ms
Token 62: ' issues' | Latency: 12.53ms
Token 63: ' like' | Latency: 12.58ms
Token 64: ' stack' | Latency: 12.60ms
Token 65: ' overflow' | Latency: 12.59ms
Token 66: '.' | Latency: 12.56ms

--- Summary ---
Total tokens: 66
TTFT: 4220.59ms
TPOT: 76.72ms
ITL Mean: 12.69ms
Throughput: 13.03 tok/s

============================================================
Request 2/5
Prompt: What are the main differences between Python and C++?
============================================================
Token 1: '**' | Latency: 15422.44ms
Token 2: 'D' | Latency: 12.76ms
Token 3: 'ifferences' | Latency: 12.58ms
Token 4: ' Between' | Latency: 12.73ms
Token 5: ' Python' | Latency: 12.65ms
Token 6: ' and' | Latency: 12.71ms
Token 7: ' C' | Latency: 12.71ms
Token 8: '++' | Latency: 12.62ms
Token 9: '**

' | Latency: 12.73ms
Token 10: '1' | Latency: 12.64ms
Token 11: '.' | Latency: 12.66ms
Token 12: ' **' | Latency: 12.71ms
Token 13: 'Ease' | Latency: 12.67ms
Token 14: ' of' | Latency: 12.68ms
Token 15: ' Learning' | Latency: 12.67ms
Token 16: ':' | Latency: 12.68ms
Token 17: '**
' | Latency: 12.68ms
Token 18: '  ' | Latency: 12.71ms
Token 19: ' -' | Latency: 12.66ms
Token 20: ' **' | Latency: 12.69ms
Token 21: 'Python' | Latency: 12.68ms
Token 22: ':**' | Latency: 12.67ms
Token 23: ' Sim' | Latency: 12.68ms
Token 24: 'pler' | Latency: 12.68ms
Token 25: ' syntax' | Latency: 12.66ms
Token 26: ' with' | Latency: 12.66ms
Token 27: ' fewer' | Latency: 12.69ms
