
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Rec' | Latency: 193.29ms
Token 2: 'ursion' | Latency: 16.19ms
Token 3: ' in' | Latency: 17.62ms
Token 4: ' programming' | Latency: 17.56ms
Token 5: ' is' | Latency: 17.63ms
Token 6: ' a' | Latency: 19.11ms
Token 7: ' technique' | Latency: 17.66ms
Token 8: ' where' | Latency: 17.37ms
Token 9: ' a' | Latency: 17.48ms
Token 10: ' function' | Latency: 17.68ms
Token 11: ' calls' | Latency: 17.60ms
Token 12: ' itself' | Latency: 17.75ms
Token 13: ' directly' | Latency: 17.60ms
Token 14: ' or' | Latency: 17.73ms
Token 15: ' indirectly' | Latency: 11.93ms
Token 16: ' to' | Latency: 11.81ms
Token 17: ' solve' | Latency: 11.61ms
Token 18: ' a' | Latency: 11.43ms
Token 19: ' problem' | Latency: 11.65ms
Token 20: ',' | Latency: 11.32ms
Token 21: ' breaking' | Latency: 11.37ms
Token 22: ' it' | Latency: 11.39ms
Token 23: ' down' | Latency: 11.44ms
Token 24: ' into' | Latency: 11.32ms
Token 25: ' smaller' | Latency: 11.50ms
Token 26: ',' | Latency: 11.38ms
Token 27: ' more' | Latency: 11.42ms
Token 28: ' manageable' | Latency: 11.43ms
Token 29: ' sub' | Latency: 11.49ms
Token 30: '-pro' | Latency: 11.43ms
Token 31: 'blems' | Latency: 11.59ms
Token 32: ' until' | Latency: 11.41ms
Token 33: ' reaching' | Latency: 11.53ms
Token 34: ' a' | Latency: 11.33ms
Token 35: ' base' | Latency: 11.48ms
Token 36: ' case' | Latency: 11.49ms
Token 37: ' that' | Latency: 11.62ms
Token 38: ' stops' | Latency: 11.58ms
Token 39: ' further' | Latency: 11.41ms
Token 40: ' recursive' | Latency: 11.53ms
Token 41: ' calls' | Latency: 11.71ms
Token 42: '.' | Latency: 11.37ms
Token 43: ' This' | Latency: 11.47ms
Token 44: ' approach' | Latency: 12.87ms
Token 45: ' is' | Latency: 11.97ms
Token 46: ' often' | Latency: 11.56ms
Token 47: ' used' | Latency: 11.45ms
Token 48: ' for' | Latency: 12.43ms
Token 49: ' tasks' | Latency: 11.42ms
Token 50: ' like' | Latency: 11.67ms
Token 51: ' travers' | Latency: 11.51ms
Token 52: 'ing' | Latency: 11.51ms
Token 53: ' data' | Latency: 11.46ms
Token 54: ' structures' | Latency: 11.53ms
Token 55: ' (' | Latency: 11.53ms
Token 56: 'e' | Latency: 11.60ms
Token 57: '.g' | Latency: 11.60ms
Token 58: '.,' | Latency: 11.60ms
Token 59: ' trees' | Latency: 11.51ms
Token 60: ',' | Latency: 11.51ms
Token 61: ' graphs' | Latency: 11.51ms
Token 62: ')' | Latency: 11.64ms
Token 63: ' and' | Latency: 11.83ms
Token 64: ' solving' | Latency: 11.20ms
Token 65: ' problems' | Latency: 11.62ms
Token 66: ' characterized' | Latency: 11.42ms
Token 67: ' by' | Latency: 11.39ms
Token 68: ' repetitive' | Latency: 13.20ms
Token 69: ' patterns' | Latency: 11.99ms
Token 70: ' or' | Latency: 11.48ms
Token 71: ' nested' | Latency: 11.44ms
Token 72: ' structures' | Latency: 12.51ms
Token 73: ',' | Latency: 11.49ms
Token 74: ' such' | Latency: 11.47ms
Token 75: ' as' | Latency: 11.47ms
Token 76: ' the' | Latency: 11.53ms
Token 77: ' Fibonacci' | Latency: 11.53ms
Token 78: ' sequence' | Latency: 11.55ms
Token 79: ' or' | Latency: 11.56ms
Token 80: ' factorial' | Latency: 11.54ms
Token 81: ' calculations' | Latency: 11.54ms
Token 82: '.' | Latency: 11.56ms
Token 83: ' While' | Latency: 11.61ms
Token 84: ' recursion' | Latency: 11.93ms
Token 85: ' can' | Latency: 11.10ms
Token 86: ' lead' | Latency: 11.63ms
Token 87: ' to' | Latency: 11.43ms
Token 88: ' elegant' | Latency: 11.55ms
Token 89: ' and' | Latency: 11.44ms
Token 90: ' concise' | Latency: 11.54ms
Token 91: ' code' | Latency: 11.52ms
Token 92: ',' | Latency: 11.43ms
Token 93: ' it' | Latency: 11.44ms
Token 94: ' requires' | Latency: 11.52ms
Token 95: ' careful' | Latency: 11.56ms
Token 96: ' handling' | Latency: 11.53ms
Token 97: ' of' | Latency: 12.90ms
Token 98: ' base' | Latency: 12.14ms
Token 99: ' cases' | Latency: 12.46ms
Token 100: ' and' | Latency: 11.52ms
Token 101: ' can' | Latency: 11.45ms
Token 102: ' have' | Latency: 11.45ms
Token 103: ' performance' | Latency: 11.55ms
Token 104: ' implications' | Latency: 11.44ms
Token 105: ' due' | Latency: 11.54ms
Token 106: ' to' | Latency: 11.73ms
Token 107: ' potential' | Latency: 11.79ms
Token 108: ' stack' | Latency: 11.50ms
Token 109: ' overflow' | Latency: 11.55ms
Token 110: ' from' | Latency: 11.47ms
Token 111: ' excessive' | Latency: 11.54ms
Token 112: ' recursive' | Latency: 11.47ms
Token 113: ' calls' | Latency: 11.58ms
Token 114: ' if' | Latency: 11.57ms
Token 115: ' not' | Latency: 11.37ms
Token 116: ' managed' | Latency: 11.47ms
Token 117: ' properly' | Latency: 11.37ms
Token 118: '.' | Latency: 11.31ms

--- Summary ---
Total tokens: 118
TTFT: 193.29ms
TPOT: 13.91ms
ITL Mean: 12.27ms
Throughput: 71.88 tok/s

============================================================
Request 2/5
Prompt: What are the main differences between Python and C++?
============================================================
Token 1: 'Python' | Latency: 181.64ms
Token 2: ' and' | Latency: 12.06ms
Token 3: ' C' | Latency: 10.73ms
Token 4: '++' | Latency: 10.92ms
Token 5: ' are' | Latency: 11.24ms
Token 6: ' both' | Latency: 11.40ms
Token 7: ' popular' | Latency: 11.30ms
Token 8: ' programming' | Latency: 11.52ms
Token 9: ' languages' | Latency: 11.47ms
Token 10: ',' | Latency: 11.57ms
Token 11: ' but' | Latency: 11.47ms
Token 12: ' they' | Latency: 11.60ms
Token 13: ' have' | Latency: 11.45ms
Token 14: ' distinct' | Latency: 11.60ms
Token 15: ' characteristics' | Latency: 12.93ms
Token 16: ' that' | Latency: 11.86ms
Token 17: ' make' | Latency: 12.36ms
