
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Rec' | Latency: 10625.36ms
Token 2: 'ursion' | Latency: 66.82ms
Token 3: ' is' | Latency: 67.02ms
Token 4: ' a' | Latency: 66.94ms
Token 5: ' programming' | Latency: 66.97ms
Token 6: ' technique' | Latency: 66.90ms
Token 7: ' where' | Latency: 66.87ms
Token 8: ' a' | Latency: 66.95ms
Token 9: ' function' | Latency: 66.97ms
Token 10: ' invokes' | Latency: 66.94ms
Token 11: ' itself' | Latency: 66.86ms
Token 12: ' to' | Latency: 66.95ms
Token 13: ' solve' | Latency: 67.09ms
Token 14: ' a' | Latency: 66.66ms
Token 15: ' problem' | Latency: 69.26ms
Token 16: ' by' | Latency: 68.01ms
Token 17: ' breaking' | Latency: 68.69ms
Token 18: ' it' | Latency: 68.16ms
Token 19: ' down' | Latency: 66.85ms
Token 20: ' into' | Latency: 66.92ms
Token 21: ' smaller' | Latency: 66.93ms
Token 22: ',' | Latency: 66.89ms
Token 23: ' similar' | Latency: 66.91ms
Token 24: ' sub' | Latency: 66.88ms
Token 25: 'problems' | Latency: 66.94ms
Token 26: '.' | Latency: 66.83ms
Token 27: ' Each' | Latency: 66.92ms
Token 28: ' recursive' | Latency: 66.86ms
Token 29: ' call' | Latency: 66.90ms
Token 30: ' addresses' | Latency: 66.95ms
Token 31: ' a' | Latency: 66.89ms
Token 32: ' part' | Latency: 66.88ms
Token 33: ' of' | Latency: 66.90ms
Token 34: ' the' | Latency: 66.95ms
Token 35: ' problem' | Latency: 66.90ms
Token 36: ' with' | Latency: 66.88ms
Token 37: ' modified' | Latency: 66.89ms
Token 38: ' parameters' | Latency: 66.87ms
Token 39: ' until' | Latency: 66.96ms
Token 40: ' reaching' | Latency: 66.90ms
Token 41: ' a' | Latency: 66.90ms
Token 42: ' base' | Latency: 66.94ms
Token 43: ' case' | Latency: 66.96ms
Token 44: ',' | Latency: 66.92ms
Token 45: ' which' | Latency: 66.90ms
Token 46: ' provides' | Latency: 66.92ms
Token 47: ' a' | Latency: 66.87ms
Token 48: ' termination' | Latency: 66.92ms
Token 49: ' condition' | Latency: 66.91ms
Token 50: '.' | Latency: 66.93ms
Token 51: ' The' | Latency: 66.91ms
Token 52: ' solution' | Latency: 66.95ms
Token 53: ' emerges' | Latency: 66.96ms
Token 54: ' as' | Latency: 66.90ms
Token 55: ' these' | Latency: 68.99ms
Token 56: ' calls' | Latency: 67.97ms
Token 57: ' return' | Latency: 67.80ms
Token 58: ' and' | Latency: 66.73ms
Token 59: ' combine' | Latency: 66.97ms
Token 60: ' their' | Latency: 66.85ms
Token 61: ' results' | Latency: 66.95ms
Token 62: ',' | Latency: 67.06ms
Token 63: ' effectively' | Latency: 66.98ms
Token 64: ' unw' | Latency: 66.83ms
Token 65: 'inding' | Latency: 66.91ms
Token 66: ' the' | Latency: 66.87ms
Token 67: ' recursion' | Latency: 66.98ms
Token 68: ' step' | Latency: 66.90ms
Token 69: '-by' | Latency: 66.96ms
Token 70: '-step' | Latency: 66.93ms
Token 71: '.' | Latency: 66.91ms

--- Summary ---
Total tokens: 71
TTFT: 10625.36ms
TPOT: 216.73ms
ITL Mean: 67.06ms
Throughput: 4.61 tok/s

============================================================
Request 2/5
Prompt: What are the main differences between Python and C++?
============================================================
Token 1: 'The' | Latency: 61004.98ms
Token 2: ' main' | Latency: 67.54ms
Token 3: ' differences' | Latency: 67.62ms
Token 4: ' between' | Latency: 69.00ms
Token 5: ' Python' | Latency: 69.15ms
Token 6: ' and' | Latency: 67.38ms
Token 7: ' C' | Latency: 67.48ms
Token 8: '++' | Latency: 67.41ms
Token 9: ' can' | Latency: 67.52ms
Token 10: ' be' | Latency: 67.51ms
Token 11: ' summarized' | Latency: 69.19ms
Token 12: ' as' | Latency: 68.03ms
Token 13: ' follows' | Latency: 67.58ms
Token 14: ':

' | Latency: 67.70ms
Token 15: '1' | Latency: 69.01ms
Token 16: '.' | Latency: 67.57ms
Token 17: ' **' | Latency: 69.08ms
Token 18: 'Syntax' | Latency: 67.71ms
Token 19: ' and' | Latency: 69.06ms
Token 20: ' Sim' | Latency: 69.13ms
Token 21: 'p' | Latency: 67.77ms
Token 22: 'licity' | Latency: 67.76ms
Token 23: '**:' | Latency: 69.09ms
Token 24: ' Python' | Latency: 67.46ms
Token 25: ' has' | Latency: 67.53ms
Token 26: ' a' | Latency: 67.48ms
Token 27: ' simpler' | Latency: 67.46ms
Token 28: ' syntax' | Latency: 67.36ms
Token 29: ' with' | Latency: 68.96ms
Token 30: ' less' | Latency: 69.14ms
Token 31: ' boiler' | Latency: 67.55ms
Token 32: 'plate' | Latency: 67.44ms
Token 33: ' code' | Latency: 67.57ms
Token 34: ',' | Latency: 67.36ms
Token 35: ' using' | Latency: 69.32ms
Token 36: ' indentation' | Latency: 67.43ms
Token 37: ' for' | Latency: 69.03ms
Token 38: ' blocks' | Latency: 69.19ms
Token 39: ',' | Latency: 67.56ms
Token 40: ' making' | Latency: 67.75ms
Token 41: ' it' | Latency: 67.64ms
Token 42: ' more' | Latency: 67.73ms
Token 43: ' readable' | Latency: 67.75ms
Token 44: ' and' | Latency: 69.08ms
Token 45: ' easier' | Latency: 68.80ms
Token 46: ' to' | Latency: 69.41ms
Token 47: ' learn' | Latency: 67.31ms
Token 48: '.' | Latency: 67.43ms
Token 49: ' C' | Latency: 67.58ms
Token 50: '++' | Latency: 67.49ms
Token 51: ' has' | Latency: 67.54ms
Token 52: ' a' | Latency: 67.54ms
Token 53: ' more' | Latency: 67.48ms
Token 54: ' complex' | Latency: 67.55ms
Token 55: ' syntax' | Latency: 67.51ms
Token 56: ' with' | Latency: 67.60ms
Token 57: ' verbose' | Latency: 67.48ms
Token 58: ' code' | Latency: 67.46ms
Token 59: ',' | Latency: 67.53ms
Token 60: ' requiring' | Latency: 67.53ms
Token 61: ' explicit' | Latency: 67.46ms
Token 62: ' memory' | Latency: 67.50ms
Token 63: ' management' | Latency: 67.41ms
Token 64: '.

' | Latency: 67.55ms
Token 65: '2' | Latency: 67.48ms
Token 66: '.' | Latency: 67.57ms
Token 67: ' **' | Latency: 67.46ms
Token 68: 'Typ' | Latency: 67.54ms
Token 69: 'ing' | Latency: 67.47ms
Token 70: '**:' | Latency: 67.53ms
Token 71: ' Python' | Latency: 67.45ms
Token 72: ' is' | Latency: 67.57ms
Token 73: ' dynamically' | Latency: 67.47ms
Token 74: ' typed' | Latency: 67.49ms
Token 75: ',' | Latency: 67.46ms
Token 76: ' allowing' | Latency: 67.52ms
Token 77: ' flexible' | Latency: 67.75ms
Token 78: ' variable' | Latency: 67.77ms
Token 79: ' assignment' | Latency: 67.06ms
Token 80: ' without' | Latency: 67.46ms
Token 81: ' type' | Latency: 67.42ms
Token 82: ' declaration' | Latency: 69.66ms
Token 83: '.' | Latency: 67.45ms
Token 84: ' C' | Latency: 67.67ms
Token 85: '++' | Latency: 67.64ms
Token 86: ' is' | Latency: 67.69ms
Token 87: ' statically' | Latency: 67.58ms
Token 88: ' typed' | Latency: 67.67ms
Token 89: ',' | Latency: 67.61ms
Token 90: ' requiring' | Latency: 67.69ms
Token 91: ' explicit' | Latency: 67.62ms
Token 92: ' type' | Latency: 67.61ms
Token 93: ' definitions' | Latency: 67.69ms
Token 94: ' which' | Latency: 67.59ms
Token 95: ' help' | Latency: 67.67ms
Token 96: ' in' | Latency: 69.65ms
Token 97: ' early' | Latency: 67.20ms
Token 98: ' error' | Latency: 67.36ms
Token 99: ' detection' | Latency: 67.46ms
Token 100: '.

' | Latency: 67.42ms
Token 101: '3' | Latency: 67.50ms
Token 102: '.' | Latency: 67.50ms
Token 103: ' **' | Latency: 69.97ms
Token 104: 'Memory' | Latency: 68.09ms
Token 105: ' Management' | Latency: 69.03ms
Token 106: '**:' | Latency: 67.31ms
Token 107: ' Python' | Latency: 67.47ms
Token 108: ' uses' | Latency: 67.39ms
Token 109: ' automatic' | Latency: 67.49ms
Token 110: ' garbage' | Latency: 67.47ms
Token 111: ' collection' | Latency: 67.67ms
Token 112: ' for' | Latency: 67.54ms
Token 113: ' memory' | Latency: 69.22ms
Token 114: ' management' | Latency: 69.57ms
Token 115: ',' | Latency: 72.78ms
Token 116: ' simpl' | Latency: 67.76ms
Token 117: 'ifying' | Latency: 67.50ms
Token 118: ' development' | Latency: 67.61ms
Token 119: ' but' | Latency: 67.54ms
Token 120: ' potentially' | Latency: 67.73ms
Token 121: ' affecting' | Latency: 67.58ms
Token 122: ' performance' | Latency: 67.60ms
Token 123: '.' | Latency: 67.60ms
Token 124: ' C' | Latency: 67.68ms
Token 125: '++' | Latency: 67.59ms
Token 126: ' requires' | Latency: 67.63ms
Token 127: ' manual' | Latency: 67.68ms
Token 128: ' memory' | Latency: 67.59ms
Token 129: ' management' | Latency: 67.69ms
Token 130: ' with' | Latency: 67.78ms
Token 131: ' pointers' | Latency: 69.63ms
Token 132: ',' | Latency: 67.86ms
Token 133: ' offering' | Latency: 69.16ms
Token 134: ' more' | Latency: 67.70ms
Token 135: ' control' | Latency: 67.74ms
Token 136: ' but' | Latency: 67.41ms
Token 137: ' increasing' | Latency: 67.66ms
Token 138: ' the' | Latency: 67.56ms
Token 139: ' risk' | Latency: 67.61ms
Token 140: ' of' | Latency: 67.71ms
Token 141: ' errors' | Latency: 67.50ms
Token 142: '.

' | Latency: 67.77ms
Token 143: '4' | Latency: 69.09ms
Token 144: '.' | Latency: 69.22ms
Token 145: ' **' | Latency: 67.68ms
Token 146: 'Object' | Latency: 67.77ms
Token 147: '-O' | Latency: 67.82ms
Token 148: 'rient' | Latency: 67.61ms
Token 149: 'ed' | Latency: 67.68ms
Token 150: ' Programming' | Latency: 69.25ms
Token 151: ' (' | Latency: 67.73ms
Token 152: 'O' | Latency: 69.34ms
Token 153: 'OP' | Latency: 67.54ms
