
============================================================
Request 1/5
Prompt: Explain the concept of recursion in programming in 3 sentences.
============================================================
Token 1: 'Rec' | Latency: 402.21ms
Token 2: 'ursion' | Latency: 68.25ms
Token 3: ' in' | Latency: 63.86ms
Token 4: ' programming' | Latency: 54.62ms
Token 5: ' is' | Latency: 54.71ms
Token 6: ' a' | Latency: 54.76ms
Token 7: ' method' | Latency: 54.85ms
Token 8: ' where' | Latency: 51.43ms
Token 9: ' a' | Latency: 50.78ms
Token 10: ' function' | Latency: 50.28ms
Token 11: ' calls' | Latency: 49.50ms
Token 12: ' itself' | Latency: 47.32ms
Token 13: ' as' | Latency: 46.58ms
Token 14: ' a' | Latency: 46.92ms
Token 15: ' subroutine' | Latency: 46.63ms
Token 16: ' to' | Latency: 46.30ms
Token 17: ' solve' | Latency: 46.57ms
Token 18: ' a' | Latency: 46.77ms
Token 19: ' problem' | Latency: 46.43ms
Token 20: ' by' | Latency: 47.30ms
Token 21: ' breaking' | Latency: 46.69ms
Token 22: ' it' | Latency: 46.45ms
Token 23: ' down' | Latency: 46.29ms
Token 24: ' into' | Latency: 47.81ms
Token 25: ' smaller' | Latency: 47.62ms
Token 26: ' and' | Latency: 47.42ms
Token 27: ' simpler' | Latency: 46.50ms
Token 28: ' instances' | Latency: 46.49ms
Token 29: ' of' | Latency: 46.31ms
Token 30: ' the' | Latency: 46.38ms
Token 31: ' same' | Latency: 46.62ms
Token 32: ' problem' | Latency: 46.44ms
Token 33: '.' | Latency: 46.65ms
Token 34: ' Each' | Latency: 46.86ms
Token 35: ' recursive' | Latency: 46.57ms
Token 36: ' call' | Latency: 46.42ms
Token 37: ' works' | Latency: 46.80ms
Token 38: ' on' | Latency: 46.59ms
Token 39: ' a' | Latency: 46.29ms
Token 40: ' smaller' | Latency: 46.54ms
Token 41: ' part' | Latency: 46.67ms
Token 42: ' of' | Latency: 46.31ms
Token 43: ' the' | Latency: 46.61ms
Token 44: ' problem' | Latency: 46.63ms
Token 45: ',' | Latency: 46.48ms
Token 46: ' and' | Latency: 46.33ms
Token 47: ' the' | Latency: 46.48ms
Token 48: ' solutions' | Latency: 46.49ms
Token 49: ' are' | Latency: 46.26ms
Token 50: ' combined' | Latency: 46.55ms
Token 51: ' to' | Latency: 46.71ms
Token 52: ' form' | Latency: 46.68ms
Token 53: ' the' | Latency: 46.50ms
Token 54: ' final' | Latency: 46.73ms
Token 55: ' result' | Latency: 46.60ms
Token 56: '.' | Latency: 46.54ms
Token 57: ' It' | Latency: 46.44ms
Token 58: ''s' | Latency: 46.55ms
Token 59: ' essential' | Latency: 46.54ms
Token 60: ' to' | Latency: 46.64ms
Token 61: ' define' | Latency: 46.82ms
Token 62: ' a' | Latency: 46.45ms
Token 63: ' base' | Latency: 46.51ms
Token 64: ' case' | Latency: 46.42ms
Token 65: ' that' | Latency: 46.67ms
Token 66: ' stops' | Latency: 46.64ms
Token 67: ' the' | Latency: 46.41ms
Token 68: ' recursion' | Latency: 46.63ms
Token 69: ' to' | Latency: 46.50ms
Token 70: ' prevent' | Latency: 46.47ms
Token 71: ' infinite' | Latency: 46.70ms
Token 72: ' loops' | Latency: 47.38ms
Token 73: '.' | Latency: 46.56ms

--- Summary ---
Total tokens: 73
TTFT: 402.21ms
TPOT: 53.39ms
ITL Mean: 47.84ms
Throughput: 18.73 tok/s

============================================================
Request 2/5
Prompt: What are the main differences between Python and C++?
============================================================
Token 1: 'Python' | Latency: 307.55ms
Token 2: ' and' | Latency: 50.48ms
Token 3: ' C' | Latency: 46.33ms
Token 4: '++' | Latency: 46.48ms
Token 5: ' are' | Latency: 46.25ms
Token 6: ' both' | Latency: 46.56ms
Token 7: ' powerful' | Latency: 46.77ms
Token 8: ' programming' | Latency: 46.38ms
Token 9: ' languages' | Latency: 46.35ms
